ID	LANG	TEXT	CONSTR
33	RU	Очертил Бездомный главное действующее лицо своей поэмы , то есть Иисуса , очень черными красками , и тем не менее всю поэму приходилось , по мнению редактора , писать заново .	приходиться
33	EN	Homeless had portrayed the main character of his poem - that is , Jesus - in very dark colours , but nevertheless the whole poem , in the editor 's opinion , had to be written over again .	have to
33	DE	Der Lyriker hatte die Hauptperson , Jesus also , in sehr schwarzen Farben gemalt , doch nichtsdestoweniger mußte nach Meinung des Redakteurs das Poem völlig neu geschrieben werden .	müssen
33	IT	Bezdomnyj aveva tratteggiato il personaggio principale del suo poema, cioè Gesú, a tinte molto fosche, eppure tutto il poema, secondo il direttore, andava rifatto di sana pianta.	andare
33	ES	Desamparado describía al personaje central de su poema —es decir, a Cristo— con tonos muy negros. Berlioz consideraba que tenía que hacer un poema nuevo.	tener que
33	FR	Biezdomny avait peint son personnage principal – Jésus-Christ – sous les couleurs les plus sombres, et pourtant, de l’avis du rédacteur en chef, tout le poème était à refaire.	être à
33	UK	Окреслив Бездомний чільну дійову особу своєї поеми, тобто Ісуса, дуже чорними барвами, а проте усю поему доводилося, на думку редактора, писати наново.	доведеться
168	RU	Так что вы уж сами узнайте это у него , Иван Николаевич !	imperative
168	EN	So you will have to find that out from him yourself , Ivan Nikolaevich ! '	have to
168	DE	Das müssen Sie ihn schon selber fragen , Iwan Nikolajewitsch ! "	müssen
168	IT	Si informi lei stesso, Ivan Nikolaevi !	imperative
168	ES	Por favor, pregúnteselo usted mismo, Iván Nikoláyevich.	imperative
168	FR	C’est donc vous-même qui le lui demanderez, Ivan Nikolaïevitch !	imperative
168	UK	То ви вже самі довідайтесь про це в нього, Іване Миколайовичу!	imperative
185	RU	« Черт , все слышал , » – подумал Берлиоз и вежливым жестом показал , что в предъявлении документов нет надобности .	нет надобности
185	EN	 The devil , he heard everything ... ' Berlioz thought , and with a polite gesture indicated that there was no need to show papers .	need to
185	DE	Zum Teufel , er hat alles gehört , dachte Berlioz und deutete mit weltmännischer Geste an , daß die Vorlage der Papiere überflüssig sei .	sei
185	IT	«Diavolo, ha sentito tutto», pensò Berlioz e fece un gesto cortese come a dire che non era il caso di mostrare i documenti.	essere il caso
185	ES	¡Diablos!, nos ha oído, pensó Berlioz, indicándole con un ademán que los documentos no eran necesarios.	necesario
185	FR	L’inconnu souligna ces paroles significatives d’un regard pénétrant, qui remplit de confusion les deux hommes de lettres.	missing
185	UK	«От чорт, чув усе…» — подумав Берліоз і чемним жестом показав, що в вказуванні документів немає потреби.	мати потреби
304	RU	Он смотрел мутными глазами на арестованного и некоторое время молчал , мучительно вспоминая , зачем на утреннем безжалостном Ершалаимском солнцепеке стоит перед ним арестант с обезображенным побоями лицом , и какие еще никому не нужные вопросы ему придется задавать .	приходиться
304	EN	He gazed with dull eyes at the arrested man and was silent for a time , painfully trying to remember why there stood before him in the pitiless morning sunlight of Yershalaim this prisoner with his face disfigured by beating , and what other utterly unnecessary questions he had to ask him .	have to
304	DE	Mit trüben Augen blickte er den Gefangenen an und schwieg einige Zeit . Qualvoll überlegte er , warum der Mann mit dem von Schlägen verunstalteten Gesicht in der erbarmungslosen morgendlichen Jerschalaimer Sonnenglut vor ihm stand und was für überflüssige Fragen er ihm noch stellen sollte .	sollen
